City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,klyuchi,36,RU,1531510050,73,52.25,79.17,71.46,2.95
89,barreiras,0,BR,1531510050,35,-12.14,-45.0,86.85,10.0
90,tasiilaq,75,GL,1531507800,87,65.61,-37.64,46.4,2.24
91,hilo,90,US,1531508160,78,19.71,-155.08,78.8,4.7
92,lorengau,76,PG,1531510051,100,-2.02,147.27,76.95,6.42
93,mahebourg,75,MU,1531508400,68,-20.41,57.7,71.6,16.11
94,port lincoln,12,AU,1531510051,97,-34.72,135.86,51.48,19.62
95,shingu,8,JP,1531510051,93,33.72,135.99,79.56,4.18
96,snyder,40,US,1531508100,34,32.72,-100.92,95.0,11.41
97,cabra,0,ES,1531508400,19,37.47,-4.43,86.0,6.93
98,petropavlovsk-kamchatskiy,90,RU,1531508400,100,53.05,158.65,50.0,4.47
99,ribeira grande,75,PT,1531508400,60,38.52,-28.7,75.2,9.17
100,egvekinot,36,RU,1531510053,82,66.32,-179.17,43.38,3.18
101,bhabua,20,IN,1531510053,82,25.04,83.61,83.25,12.24
102,saint anthony,1,US,1531508160,28,43.97,-111.68,82.4,5.82
103,dikson,80,RU,1531510053,91,73.51,80.55,42.66,19.51
104,zhangye,32,CN,1531510053,64,38.94,100.46,65.07,3.62
105,haines junction,0,CA,1531510053,58,60.75,-137.51,53.91,2.51
106,arlit,24,NE,1531510054,14,18.74,7.39,97.38,7.09
107,viedma,92,AR,1531510054,57,-40.81,-62.99,56.43,12.24
108,vanavara,92,RU,1531510054,66,60.35,102.28,65.25,3.51
109,abalak,0,NE,1531510054,44,15.46,6.28,90.63,6.2
110,gannan,20,CN,1531510054,71,47.92,123.49,62.82,6.08
111,algiers,75,US,1531509300,89,29.94,-90.04,93.2,5.82
112,nurota,0,UZ,1531506600,20,40.56,65.69,86.0,2.24
113,ostrovnoy,0,RU,1531510055,48,68.05,39.51,69.21,10.22
114,dire dawa,56,ET,1531510055,50,9.59,41.86,73.98,6.53
115,bad langensalza,0,DE,1531507800,46,51.11,10.65,71.6,6.93
116,bambous virieux,75,MU,1531508400,68,-20.34,57.76,71.6,16.11
117,narsaq,5,GL,1531507800,54,60.91,-46.05,57.2,9.17
118,kununurra,0,AU,1531508400,81,-15.77,128.74,51.8,3.36
119,wawa,0,NG,1531510056,76,9.9,4.41,82.08,8.1
120,ponta delgada,40,PT,1531508400,73,37.73,-25.67,71.6,12.75
121,mar del plata,92,AR,1531510056,100,-46.43,-67.52,38.43,6.42
122,tocopilla,24,CL,1531510056,91,-22.09,-70.2,65.79,3.74
123,mehamn,75,NO,1531507800,100,71.03,27.85,48.2,8.05
124,norman wells,75,CA,1531508400,72,65.28,-126.83,59.0,10.29
125,saskylakh,92,RU,1531510057,100,71.97,114.09,42.48,4.18
126,la palma,8,CO,1531510058,45,5.36,-74.39,84.87,3.06
127,nizhniy odes,24,RU,1531510058,52,63.64,54.86,69.21,3.74
128,geraldton,75,CA,1531508400,51,49.72,-86.95,80.6,10.29
